epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.017,0.76669,3.62143,1.24628,0.38627,0.57782,0.26583,0.1792,0.77842,3.931,1.3037,0.000410714,0.000410714,0.000410714
2,297.887,0.93121,2.40426,1.33668,0.4574,0.61795,0.51798,0.37737,0.92587,2.00486,1.49855,0.00081919,0.00081919,0.00081919
3,440.764,0.92253,2.0795,1.32098,0.40314,0.59121,0.53255,0.37897,0.86332,3.02473,1.38629,0.00121942,0.00121942,0.00121942
4,581.448,0.87015,1.7781,1.28816,0.46339,0.67114,0.57509,0.41753,0.86577,1.80777,1.33242,0.00121287,0.00121287,0.00121287
5,718.286,0.88168,1.59804,1.27495,0.47674,0.64397,0.60365,0.43046,0.80644,2.67293,1.27033,0.0012005,0.0012005,0.0012005
6,856.199,0.92054,1.59046,1.31224,0.59055,0.6507,0.65493,0.4929,0.85683,1.50899,1.32209,0.00118812,0.00118812,0.00118812
7,1006.03,0.87874,1.48099,1.27241,0.59381,0.68557,0.67313,0.48014,0.82894,1.95765,1.29094,0.00117575,0.00117575,0.00117575
8,1152.69,0.77165,1.35573,1.20016,0.67724,0.76165,0.78756,0.60937,0.72377,1.38178,1.20383,0.00116337,0.00116337,0.00116337
9,1299.69,0.78727,1.36652,1.21567,0.67965,0.71605,0.73687,0.58009,0.70779,1.28838,1.18367,0.001151,0.001151,0.001151
10,1445.97,0.76533,1.32501,1.1964,0.71265,0.76543,0.74324,0.60318,0.65533,1.15831,1.1309,0.00113863,0.00113863,0.00113863
11,1592.24,0.77755,1.29366,1.21538,0.70699,0.77986,0.81829,0.65943,0.72142,1.17898,1.18844,0.00112625,0.00112625,0.00112625
12,1737.92,0.71925,1.23307,1.16463,0.77703,0.79105,0.84097,0.68383,0.6609,1.07048,1.15923,0.00111388,0.00111388,0.00111388
13,1883.26,0.7353,1.19983,1.18152,0.71427,0.80445,0.83624,0.68243,0.63698,1.08371,1.14382,0.0011015,0.0011015,0.0011015
14,2029.33,0.72488,1.20197,1.19853,0.62573,0.74637,0.71466,0.56883,0.69256,1.32667,1.17547,0.00108913,0.00108913,0.00108913
15,2175.61,0.70202,1.15938,1.16845,0.66566,0.7824,0.74072,0.61393,0.62819,1.14409,1.1151,0.00107675,0.00107675,0.00107675
16,2321.43,0.70803,1.15835,1.16911,0.82546,0.73251,0.84984,0.69765,0.63375,1.01732,1.11933,0.00106437,0.00106437,0.00106437
17,2466.44,0.70374,1.13429,1.17174,0.80612,0.7588,0.83534,0.69091,0.6173,0.92622,1.11118,0.001052,0.001052,0.001052
18,2612.28,0.71178,1.1044,1.17291,0.84262,0.83781,0.91337,0.75354,0.6198,0.90644,1.10737,0.00103962,0.00103962,0.00103962
19,2758.85,0.68109,1.07039,1.13938,0.74805,0.78089,0.83641,0.69663,0.60888,0.95797,1.11251,0.00102725,0.00102725,0.00102725
20,2905.09,0.68212,1.06914,1.14236,0.71728,0.78973,0.78673,0.6322,0.65563,1.21594,1.14986,0.00101488,0.00101488,0.00101488
21,3050.92,0.69672,1.05441,1.16219,0.79562,0.83346,0.87956,0.71918,0.62684,0.89714,1.14402,0.0010025,0.0010025,0.0010025
22,3197.12,0.67783,1.05581,1.1378,0.62782,0.78667,0.79954,0.66942,0.59897,1.08446,1.10266,0.000990125,0.000990125,0.000990125
23,3343.5,0.67335,1.01923,1.15152,0.7847,0.84591,0.86351,0.73416,0.57139,0.86705,1.07052,0.00097775,0.00097775,0.00097775
24,3489.68,0.64982,0.96528,1.13922,0.86242,0.81019,0.89202,0.7558,0.56934,0.78897,1.07469,0.000965375,0.000965375,0.000965375
25,3635.6,0.64074,1.01192,1.13222,0.81524,0.83124,0.89806,0.74631,0.58806,0.86872,1.11689,0.000953,0.000953,0.000953
26,3782.05,0.63596,0.99203,1.12871,0.85451,0.79815,0.8945,0.73939,0.60745,0.90454,1.10693,0.000940625,0.000940625,0.000940625
27,3928.2,0.62922,0.99542,1.12525,0.78091,0.68143,0.78113,0.65672,0.57999,1.06213,1.07542,0.00092825,0.00092825,0.00092825
28,4075.03,0.63576,0.95651,1.12734,0.83541,0.86563,0.90665,0.76613,0.53453,0.7209,1.05485,0.000915875,0.000915875,0.000915875
29,4220.86,0.58821,0.8879,1.08228,0.76864,0.77499,0.83785,0.72506,0.52966,0.86249,1.0498,0.0009035,0.0009035,0.0009035
30,4366.72,0.61103,0.91009,1.11269,0.80882,0.88206,0.92519,0.79621,0.52268,0.75277,1.04386,0.000891125,0.000891125,0.000891125
31,4513.09,0.60794,0.91162,1.10116,0.83545,0.80542,0.89849,0.7769,0.50929,0.76283,1.04031,0.00087875,0.00087875,0.00087875
32,4659.66,0.60834,0.90962,1.12183,0.77252,0.79613,0.87403,0.73707,0.57307,0.7824,1.06848,0.000866375,0.000866375,0.000866375
33,4804.84,0.60598,0.91913,1.10663,0.84315,0.87687,0.92706,0.78442,0.55726,0.73267,1.07543,0.000854,0.000854,0.000854
34,4952.89,0.60228,0.88315,1.0983,0.81845,0.81095,0.88,0.76023,0.51698,0.75085,1.02498,0.000841625,0.000841625,0.000841625
35,5100.19,0.60522,0.86277,1.1136,0.85953,0.85339,0.91968,0.80192,0.51213,0.68628,1.01673,0.00082925,0.00082925,0.00082925
36,5247.79,0.58064,0.8421,1.09738,0.81389,0.84134,0.91525,0.77362,0.53069,0.71288,1.05091,0.000816875,0.000816875,0.000816875
37,5394.35,0.56496,0.81378,1.08104,0.84714,0.80198,0.90762,0.79145,0.50305,0.68265,1.02705,0.0008045,0.0008045,0.0008045
38,5542.57,0.5859,0.83383,1.10002,0.83312,0.87324,0.93583,0.81557,0.49833,0.69503,1.01501,0.000792125,0.000792125,0.000792125
39,5690.63,0.57773,0.81788,1.08213,0.8106,0.81194,0.86145,0.75575,0.45763,0.68563,0.99285,0.00077975,0.00077975,0.00077975
40,5838.52,0.55389,0.80612,1.08062,0.85229,0.80082,0.89167,0.77772,0.46837,0.69989,0.99168,0.000767375,0.000767375,0.000767375
41,5987.08,0.58794,0.79599,1.09499,0.84532,0.8361,0.91422,0.7941,0.47909,0.67683,1.03117,0.000755,0.000755,0.000755
42,6134.8,0.54814,0.78812,1.06059,0.82984,0.72829,0.8077,0.70694,0.46593,0.94482,1.01774,0.000742625,0.000742625,0.000742625
43,6282.85,0.55943,0.78858,1.07931,0.83629,0.86111,0.93019,0.82425,0.48349,0.62287,1.01355,0.00073025,0.00073025,0.00073025
44,6431.83,0.56655,0.76853,1.08143,0.88783,0.8986,0.95275,0.82563,0.51662,0.58893,1.05166,0.000717875,0.000717875,0.000717875
45,6579.65,0.55957,0.76071,1.07268,0.85288,0.83332,0.90773,0.7936,0.48881,0.61348,1.02167,0.0007055,0.0007055,0.0007055
46,6729.85,0.53967,0.71825,1.06591,0.77362,0.85176,0.88502,0.78167,0.47497,0.69559,1.00314,0.000693125,0.000693125,0.000693125
47,6877.03,0.53852,0.73414,1.05428,0.86827,0.86617,0.91878,0.81273,0.46429,0.62102,1.01151,0.00068075,0.00068075,0.00068075
48,7025.32,0.54574,0.74888,1.06349,0.82688,0.75828,0.83348,0.73186,0.46055,0.75143,0.9987,0.000668375,0.000668375,0.000668375
49,7173.7,0.53302,0.73252,1.05447,0.90611,0.85264,0.93595,0.8324,0.43619,0.54448,0.97095,0.000656,0.000656,0.000656
50,7331.5,0.54018,0.71669,1.06694,0.80395,0.84121,0.91609,0.80993,0.46058,0.63686,0.99756,0.000643625,0.000643625,0.000643625
51,7481.77,0.53344,0.72793,1.05319,0.77089,0.83853,0.84617,0.74705,0.45324,0.6896,0.98553,0.00063125,0.00063125,0.00063125
52,7623.62,0.54278,0.70043,1.06338,0.89678,0.85301,0.94603,0.83967,0.45001,0.54637,0.98045,0.000618875,0.000618875,0.000618875
53,7767.63,0.50423,0.69244,1.04142,0.82887,0.83563,0.89325,0.79465,0.4366,0.63419,0.97576,0.0006065,0.0006065,0.0006065
54,7912.28,0.52681,0.69405,1.05531,0.85807,0.83991,0.93818,0.83698,0.46172,0.62295,0.99047,0.000594125,0.000594125,0.000594125
55,8056.33,0.52518,0.69939,1.05413,0.85503,0.88153,0.93441,0.83061,0.43466,0.55271,0.97393,0.00058175,0.00058175,0.00058175
56,8205.27,0.48886,0.66783,1.04125,0.81499,0.88774,0.92899,0.83551,0.42835,0.57942,0.96562,0.000569375,0.000569375,0.000569375
57,8355.74,0.52898,0.68882,1.06417,0.84036,0.88368,0.93363,0.82627,0.45748,0.56662,1.00005,0.000557,0.000557,0.000557
58,8501.26,0.51205,0.67336,1.05784,0.88756,0.90947,0.95127,0.84009,0.45217,0.53246,0.99314,0.000544625,0.000544625,0.000544625
59,8651.55,0.53449,0.66983,1.06551,0.89157,0.89006,0.94744,0.83006,0.45651,0.54579,1.01085,0.00053225,0.00053225,0.00053225
60,8801.65,0.49955,0.67231,1.03846,0.89386,0.92706,0.95121,0.84663,0.43476,0.53459,0.97899,0.000519875,0.000519875,0.000519875
61,8952.04,0.48106,0.63601,1.02975,0.8598,0.83966,0.92693,0.82971,0.44853,0.5684,0.99224,0.0005075,0.0005075,0.0005075
62,9102.98,0.49872,0.64305,1.03972,0.92113,0.87265,0.94995,0.83578,0.46439,0.57601,1.00379,0.000495125,0.000495125,0.000495125
63,9252.84,0.48151,0.61867,1.0249,0.8677,0.89949,0.9461,0.83957,0.45391,0.50335,0.99352,0.00048275,0.00048275,0.00048275
64,9403.93,0.49031,0.62455,1.03527,0.90963,0.87697,0.95092,0.84878,0.43433,0.51128,0.98384,0.000470375,0.000470375,0.000470375
65,9555.69,0.4859,0.58486,1.02789,0.90547,0.93938,0.96279,0.84737,0.45342,0.49118,1.00006,0.000458,0.000458,0.000458
66,9708.37,0.47952,0.5953,1.02721,0.92414,0.88843,0.95271,0.85059,0.4265,0.4992,0.96937,0.000445625,0.000445625,0.000445625
67,9860.1,0.46507,0.59909,1.02886,0.8881,0.86957,0.92876,0.84193,0.4161,0.53319,0.96598,0.00043325,0.00043325,0.00043325
