epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,168.002,0.6741,4.64409,0.01109,0.1566,0.25664,0.04891,0.04427,0.45683,5.26647,0.0097,0.000410714,0.000410714,0.000410714
2,327.265,0.78631,3.17687,0.01263,0.28671,0.50873,0.32867,0.25797,0.80631,3.32534,0.01779,0.00081919,0.00081919,0.00081919
3,482.632,0.83787,2.5213,0.01411,0.4023,0.51391,0.45686,0.37071,0.76526,2.7302,0.01866,0.00121942,0.00121942,0.00121942
4,636.588,0.82903,2.33184,0.01384,0.46077,0.65247,0.52826,0.44151,0.70726,2.57589,0.01675,0.00121287,0.00121287,0.00121287
5,791.479,0.82393,2.0298,0.01377,0.53226,0.62243,0.60506,0.50012,0.7159,2.3575,0.01766,0.0012005,0.0012005,0.0012005
6,947.709,0.83512,1.91069,0.01407,0.56834,0.70046,0.69523,0.5754,0.67039,1.84534,0.01633,0.00118812,0.00118812,0.00118812
7,1103.62,0.80598,1.74488,0.01356,0.65063,0.71245,0.74155,0.60505,0.69662,1.68734,0.01731,0.00117575,0.00117575,0.00117575
8,1259.39,0.75964,1.60652,0.01251,0.61851,0.75545,0.74135,0.6184,0.65075,1.60099,0.01506,0.00116337,0.00116337,0.00116337
9,1414.04,0.79133,1.60519,0.01329,0.69145,0.67387,0.75116,0.61129,0.66685,1.48365,0.01617,0.001151,0.001151,0.001151
10,1570.08,0.75826,1.48378,0.01235,0.65839,0.71387,0.74098,0.61959,0.64789,1.44255,0.01655,0.00113863,0.00113863,0.00113863
11,1725.56,0.7561,1.45315,0.01318,0.71746,0.75649,0.79563,0.64901,0.65438,1.30492,0.01578,0.00112625,0.00112625,0.00112625
12,1880.65,0.75388,1.40849,0.01213,0.67021,0.71214,0.74923,0.63493,0.63892,1.27897,0.01565,0.00111388,0.00111388,0.00111388
13,2035.64,0.75086,1.31493,0.01208,0.71699,0.76564,0.80495,0.65769,0.66831,1.22285,0.01584,0.0011015,0.0011015,0.0011015
14,2190.75,0.77374,1.30094,0.01374,0.72774,0.76513,0.8198,0.6951,0.63079,1.13854,0.01483,0.00108913,0.00108913,0.00108913
15,2346.04,0.73254,1.27126,0.01255,0.67318,0.71394,0.73407,0.60932,0.64144,1.16276,0.01507,0.00107675,0.00107675,0.00107675
16,2500.7,0.73204,1.21397,0.01206,0.70614,0.7507,0.75293,0.64113,0.58537,1.14935,0.01418,0.00106437,0.00106437,0.00106437
17,2656.18,0.74277,1.1988,0.01242,0.75951,0.75892,0.81343,0.67313,0.61972,0.99424,0.01448,0.001052,0.001052,0.001052
18,2811.02,0.71682,1.15672,0.01206,0.70526,0.84062,0.85208,0.71474,0.62804,0.89303,0.01476,0.00103962,0.00103962,0.00103962
19,2966.17,0.70674,1.13997,0.01147,0.80034,0.75757,0.86229,0.7457,0.57866,0.88713,0.0134,0.00102725,0.00102725,0.00102725
20,3121.09,0.70019,1.10646,0.01188,0.70082,0.82446,0.80237,0.67138,0.64046,1.01794,0.01471,0.00101488,0.00101488,0.00101488
21,3276.88,0.73067,1.11551,0.01274,0.85347,0.77557,0.88057,0.77617,0.53,0.76375,0.01205,0.0010025,0.0010025,0.0010025
22,3431.02,0.68927,1.06668,0.011,0.72048,0.79076,0.8421,0.71994,0.55457,0.88042,0.01303,0.000990125,0.000990125,0.000990125
23,3586.63,0.697,0.99222,0.01157,0.70076,0.81606,0.81336,0.68665,0.57394,0.89253,0.01406,0.00097775,0.00097775,0.00097775
24,3741.97,0.68748,0.989,0.01159,0.83514,0.81847,0.89672,0.77334,0.55162,0.80806,0.01247,0.000965375,0.000965375,0.000965375
25,3896.54,0.67428,1.00077,0.01119,0.72299,0.81646,0.84296,0.71189,0.60823,0.83117,0.01426,0.000953,0.000953,0.000953
26,4048.69,0.65773,0.99252,0.01133,0.82798,0.84668,0.91024,0.77671,0.59254,0.66775,0.01392,0.000940625,0.000940625,0.000940625
27,4224.4,0.68222,0.97283,0.01103,0.69733,0.81153,0.81865,0.70326,0.5495,0.83504,0.01303,0.00092825,0.00092825,0.00092825
28,4379.7,0.66897,0.92875,0.01059,0.77266,0.85062,0.88801,0.77016,0.55277,0.72534,0.01283,0.000915875,0.000915875,0.000915875
29,4534.78,0.63805,0.90251,0.01007,0.79964,0.82764,0.86699,0.74786,0.56603,0.75658,0.01363,0.0009035,0.0009035,0.0009035
